ID1,Affinal_ID,Affinal_r
6002495,6002373,"[0,0.125)   "
6002495,6002060,"[0,0.125)   "
6002495,6002062,"[0,0.125)   "
6002495,6002064,"[0,0.125)   "
6002495,6002157,"[0,0.125)   "
6002495,6002748,"[0,0.125)   "
6002495,6002484,"[0,0.125)   "
6002496,6002055,"[0,0.125)   "
6002496,6002121,"[0,0.125)   "
6002496,6002187,"[0,0.125)   "
6002496,6002373,"[0,0.125)   "
6002496,6002060,"[0,0.125)   "
6002496,6002062,"[0,0.125)   "
6002496,6002064,"[0,0.125)   "
6002496,6002157,"[0,0.125)   "
6002496,6002748,"[0,0.125)   "
6002496,6002484,"[0,0.125)   "
6002504,6002437,"[0,0.125)   "
6002504,6002110,"[0,0.125)   "
6002509,6002317,"[0,0.125)   "
6002509,6002339,"[0,0.125)   "
6002509,6002365,"[0,0.125)   "
6002509,6003101,"[0,0.125)   "
6002509,6002548,"[0,0.125)   "
6002510,6002548,"[0,0.125)   "
6002511,6002525,"[0,0.125)   "
6002512,6002303,"[0,0.125)   "
6002512,6002331,"[0,0.125)   "
6002512,6002948,"[0,0.125)   "
6002512,6002317,"[0,0.125)   "
6002512,6002337,"[0,0.125)   "
6002512,6002339,"[0,0.125)   "
6002512,6002365,"[0,0.125)   "
6002512,6002517,"[0,0.125)   "
6002512,6002523,"[0,0.125)   "
6002512,6002525,"[0,0.125)   "
6002512,6003101,"[0,0.125)   "
6002512,6002548,"[0,0.125)   "
6002515,6002525,"[0,0.125)   "
6002516,6002525,"[0,0.125)   "
6002518,6002509,"[0,0.125)   "
6002518,6002523,"[0,0.125)   "
6002518,6002525,"[0,0.125)   "
6002519,6002509,"[0,0.125)   "
6002519,6002523,"[0,0.125)   "
6002519,6002525,"[0,0.125)   "
6002524,6002509,"[0,0.125)   "
6002524,6002517,"[0,0.125)   "
6002526,6002509,"[0,0.125)   "
6002526,6002514,"[0,0.125)   "
6002526,6002517,"[0,0.125)   "
6002529,6002537,"[0,0.125)   "
6002538,6002527,"[0,0.125)   "
6002539,6002527,"[0,0.125)   "
6002546,6002511,"[0,0.125)   "
6002547,6002339,"[0,0.125)   "
6002547,6002511,"[0,0.125)   "
6002547,6003072,"[0,0.125)   "
6002549,6002331,"[0,0.125)   "
6002549,6002337,"[0,0.125)   "
6002549,6002339,"[0,0.125)   "
6002549,6002511,"[0,0.125)   "
6002549,6003072,"[0,0.125)   "
6002552,6002387,"[0,0.125)   "
6002552,6002002,"[0,0.125)   "
6002552,6002476,"[0,0.125)   "
6002553,6002387,"[0,0.125)   "
6002553,6002002,"[0,0.125)   "
6002553,6002476,"[0,0.125)   "
6002554,6002387,"[0,0.125)   "
6002554,6002002,"[0,0.125)   "
6002554,6002476,"[0,0.125)   "
6002056,6002159,"[0,0.125)   "
6002056,6002160,"[0,0.125)   "
6002056,6002495,"[0,0.125)   "
6002056,6002496,"[0,0.125)   "
6002122,6002152,"[0,0.125)   "
6002122,6002221,"[0,0.125)   "
6002122,6002222,"[0,0.125)   "
6002122,6002492,"[0,0.125)   "
6002122,6002494,"[0,0.125)   "
6002122,6002495,"[0,0.125)   "
6002122,6002496,"[0,0.125)   "
6002177,6002394,"[0,0.125)   "
6002177,6002395,"[0,0.125)   "
6002189,6002152,"[0,0.125)   "
6002189,6002221,"[0,0.125)   "
6002189,6002222,"[0,0.125)   "
6002189,6002492,"[0,0.125)   "
6002189,6002494,"[0,0.125)   "
